new_cases_per_million_nl,new_deaths_per_million_nl,new_cases_per_million_pl,new_deaths_per_million_pl,NL_retail_and_recreation,NL_grocery_and_pharmacy,NL_parks,NL_transit,NL_workplaces,NL_residential,PL_retail_and_recreation,PL_grocery_and_pharmacy,PL_parks,PL_transit,PL_workplaces,PL_residential
6.661,0.285,10.211,0.401,-7.0,3.0,90.0,-46.0,-33.0,10.0,-5.0,1.0,84.0,-27.0,-20.0,5.0
6.547,0.228,12.695,0.351,-6.0,-1.0,99.0,-42.0,-30.0,8.0,-6.0,-1.0,69.0,-28.0,-20.0,5.0
6.092,0.228,7.878,0.753,-11.0,0.0,63.0,-46.0,-33.0,10.0,-7.0,0.0,59.0,-28.0,-21.0,5.0
4.327,0.171,7.552,0.452,-8.0,1.0,116.0,-39.0,-29.0,7.0,-10.0,0.0,37.0,-30.0,-21.0,5.0
5.181,0.455,7.627,0.301,-11.0,2.0,123.0,-28.0,13.0,2.0,-15.0,-4.0,55.0,-24.0,6.0,0.0
3.701,0.057,7.803,0.251,-12.0,-4.0,105.0,-30.0,24.0,0.0,-16.0,-9.0,57.0,-24.0,12.0,0.0
3.644,0.0,7.427,0.075,1.0,2.0,129.0,-42.0,-34.0,8.0,-4.0,-2.0,41.0,-30.0,-23.0,5.0
4.669,0.285,7.527,0.401,6.0,9.0,185.0,-40.0,-33.0,8.0,1.0,6.0,89.0,-23.0,-21.0,4.0
6.263,0.114,7.376,0.527,0.0,3.0,192.0,-37.0,-31.0,6.0,-5.0,-2.0,59.0,-27.0,-21.0,5.0
5.181,0.171,7.477,0.401,-3.0,4.0,161.0,-40.0,-33.0,8.0,-1.0,3.0,114.0,-22.0,-20.0,3.0
3.928,0.171,6.925,0.427,-10.0,-1.0,181.0,-37.0,-30.0,6.0,-3.0,3.0,85.0,-21.0,-21.0,3.0
4.156,0.114,8.004,0.151,-16.0,-3.0,86.0,-33.0,7.0,3.0,-13.0,-6.0,124.0,-13.0,6.0,-3.0
2.847,0.114,6.197,0.151,-2.0,0.0,82.0,-44.0,-33.0,9.0,-8.0,-9.0,43.0,-28.0,-23.0,5.0
3.53,0.342,5.996,0.477,-2.0,3.0,72.0,-45.0,-32.0,9.0,3.0,3.0,119.0,-20.0,-20.0,3.0
4.384,0.114,9.584,0.351,1.0,1.0,91.0,-39.0,-30.0,7.0,3.0,2.0,118.0,-19.0,-21.0,2.0
4.27,0.171,9.308,0.376,-1.0,1.0,85.0,-40.0,-31.0,8.0,1.0,4.0,104.0,-21.0,-22.0,3.0
3.473,0.114,6.498,0.376,-2.0,-1.0,124.0,-35.0,-28.0,6.0,-3.0,3.0,88.0,-22.0,-22.0,2.0
4.213,0.342,7.878,0.125,-17.0,-6.0,50.0,-36.0,5.0,4.0,-8.0,-2.0,159.0,-9.0,6.0,-5.0
2.05,0.057,5.796,0.125,-10.0,-4.0,69.0,-33.0,8.0,2.0,11.0,20.0,165.0,-2.0,14.0,-6.0
2.107,0.057,5.143,0.1,2.0,0.0,106.0,-42.0,-36.0,8.0,2.0,1.0,95.0,-23.0,-25.0,3.0
2.961,0.228,6.448,0.176,9.0,6.0,146.0,-39.0,-35.0,8.0,3.0,3.0,122.0,-21.0,-24.0,3.0
2.961,0.171,6.95,0.351,-1.0,-2.0,88.0,-40.0,-33.0,7.0,2.0,0.0,90.0,-23.0,-24.0,3.0
2.391,0.114,6.573,0.226,-5.0,-2.0,60.0,-43.0,-35.0,9.0,3.0,4.0,107.0,-21.0,-24.0,3.0
5.75,0.057,7.652,0.151,-10.0,-5.0,133.0,-24.0,8.0,1.0,-7.0,-1.0,86.0,-15.0,1.0,-2.0
4.042,0.0,9.283,0.075,1.0,-3.0,162.0,-19.0,12.0,-1.0,21.0,35.0,141.0,9.0,19.0,-6.0
3.018,0.0,7.502,0.125,11.0,1.0,209.0,-37.0,-38.0,6.0,6.0,3.0,114.0,-21.0,-26.0,3.0
5.637,0.057,6.624,0.151,8.0,0.0,175.0,-36.0,-35.0,6.0,7.0,4.0,159.0,-18.0,-25.0,2.0
5.864,0.057,8.355,0.276,0.0,0.0,115.0,-43.0,-37.0,8.0,4.0,5.0,100.0,-22.0,-26.0,4.0
7.288,0.057,8.857,0.176,0.0,-2.0,181.0,-36.0,-35.0,5.0,1.0,4.0,119.0,-20.0,-25.0,2.0
10.533,0.0,8.982,0.151,-1.0,-3.0,165.0,-22.0,9.0,-1.0,18.0,20.0,185.0,5.0,11.0,-6.0
9.28,0.0,7.0,0.075,16.0,4.0,219.0,-40.0,-45.0,7.0,5.0,4.0,127.0,-21.0,-28.0,2.0
9.565,0.0,10.011,0.226,20.0,7.0,258.0,-39.0,-45.0,7.0,7.0,6.0,174.0,-19.0,-28.0,2.0
9.28,0.171,9.534,0.151,11.0,-2.0,227.0,-37.0,-41.0,6.0,9.0,5.0,176.0,-18.0,-26.0,2.0
10.988,0.0,10.487,0.226,8.0,1.0,194.0,-41.0,-43.0,7.0,6.0,6.0,165.0,-19.0,-27.0,2.0
